,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,85,44,5,4,30,58,30,53,97,94,42,2,55,34,86,33,84,13,69,14,57,68,95,84,12,92,19,40,32,66,18,93,79,53,28,87,10,67,91,80,55,21,50,68,5,92,79,58,91,81,87,62,76,90,54,5,37,34,36,16,17,25,18,27,96,27,59,23,70,18,66,51,17,14,68,56,59,14,29,47,83,74,92,87,22,7,98,89,21,5,25,36,21,63,29,13,87,35,56,33,20,10,31,40,1,56,49,68,14,43,1,22,75,68,10,83,36,11,64,34,26
1,52,27,29,89,42,45,93,65,53,36,32,52,77,74,83,17,75,9,42,78,98,42,59,6,69,56,4,52,63,57,44,2,22,59,9,6,83,82,47,99,10,2,20,78,12,84,73,87,22,48,6,64,22,60,9,83,5,57,28,85,55,58,94,37,89,66,80,98,79,83,41,12,13,21,37,23,94,50,95,80,91,78,75,24,4,73,78,41,53,80,35,28,71,16,80,32,52,55,51,74,75,39,87,73,47,76,0,18,72,74,18,40,42,86,97,30,24,94,45,91,2
2,77,67,27,80,85,11,71,59,89,60,68,11,56,22,22,2,41,84,87,6,18,44,3,36,82,86,51,18,8,64,17,15,80,40,76,11,51,89,51,64,12,24,81,88,24,71,70,16,93,46,33,64,97,5,88,90,7,7,5,65,1,23,3,87,35,15,41,37,37,59,21,84,81,13,87,55,59,95,3,25,57,7,67,93,46,77,72,15,25,31,96,49,59,34,64,3,9,65,8,58,99,86,6,11,90,93,4,98,4,84,11,57,79,42,82,47,91,72,32,95,86
3,73,52,20,62,33,39,70,27,12,80,77,27,18,64,65,56,77,28,48,92,52,89,69,26,35,74,2,48,55,90,71,40,30,93,88,56,53,48,12,67,92,90,10,68,18,37,75,30,91,78,6,26,98,25,51,14,85,55,21,42,72,34,55,50,95,86,23,41,66,1,96,30,82,55,4,74,28,86,18,26,35,36,68,77,24,4,68,32,86,35,99,68,2,88,99,45,47,67,24,93,30,25,51,80,13,55,17,95,46,60,15,63,2,23,57,81,90,81,79,94,75
4,18,44,63,74,93,9,7,55,16,95,13,54,27,85,39,46,95,87,69,48,3,26,64,14,43,31,47,96,57,69,42,26,44,73,80,54,24,52,84,28,87,19,89,40,62,25,48,30,26,23,61,65,80,89,56,50,48,3,15,83,9,33,87,80,49,52,4,47,4,45,21,49,81,41,57,25,79,88,26,53,45,14,6,8,51,75,71,43,80,12,66,9,63,76,94,0,71,45,9,26,17,18,45,78,32,25,80,55,13,76,84,20,13,34,13,42,82,6,3,44,44
5,0,30,84,53,20,35,93,95,96,80,91,71,27,90,63,13,12,22,95,59,75,30,96,35,15,6,62,36,70,63,87,11,57,82,82,90,36,9,41,93,21,6,66,51,64,21,50,8,98,6,7,78,11,98,94,72,36,25,87,78,3,8,17,50,7,26,37,38,39,20,39,22,89,59,38,85,95,17,64,72,97,18,31,38,55,19,94,45,19,6,20,35,89,82,14,77,6,43,86,3,22,73,77,66,25,13,31,38,90,61,29,43,76,92,23,80,11,47,62,29,60
6,80,91,31,79,98,65,53,16,6,87,32,77,17,33,58,12,58,38,52,49,86,38,0,56,82,85,9,23,90,38,13,41,52,47,45,38,66,13,96,9,7,68,63,86,51,83,36,78,28,5,92,81,77,62,77,61,41,40,92,6,22,47,10,83,53,34,83,10,68,84,39,89,26,56,85,2,69,58,56,52,75,86,0,95,18,53,87,12,13,38,96,6,83,7,85,45,75,35,98,99,8,90,8,77,24,41,47,83,70,84,76,62,22,35,93,98,78,16,49,5,38
7,37,60,48,39,70,20,38,33,94,43,83,70,13,42,15,90,36,48,59,88,8,58,53,89,13,66,87,90,76,84,86,56,99,36,88,35,90,39,39,50,65,74,46,32,11,31,20,97,15,92,25,51,31,78,16,5,1,58,16,71,44,83,9,99,22,37,36,2,34,91,35,98,70,50,88,88,93,30,21,88,71,64,66,4,9,22,56,32,23,74,91,75,99,62,60,26,99,78,7,56,68,78,98,41,40,31,35,64,86,95,66,25,6,52,49,52,8,8,19,74,45
8,21,34,7,96,65,52,79,51,51,59,22,15,62,4,32,56,80,60,85,78,79,74,54,78,31,17,58,63,97,81,57,59,45,67,72,3,55,38,58,29,94,38,72,10,42,35,93,59,59,38,41,69,50,7,3,16,91,67,24,59,16,68,50,15,80,27,12,17,69,4,32,93,95,6,79,39,18,68,92,21,82,55,9,94,22,38,86,33,31,22,44,3,69,5,55,21,10,55,79,95,80,46,39,64,30,2,28,89,95,75,7,64,23,32,92,91,69,9,83,43,53
9,69,87,28,60,3,89,0,92,77,36,8,53,0,34,8,64,82,78,34,23,39,49,7,59,33,26,62,1,12,71,35,12,99,75,80,65,50,33,33,66,86,76,55,27,99,44,24,36,50,24,50,41,95,35,75,89,53,84,34,54,12,14,61,70,50,78,1,87,80,45,57,36,44,77,85,58,86,92,14,28,25,77,61,63,84,18,4,35,44,99,64,85,5,29,25,37,23,43,24,25,65,22,79,4,23,16,82,22,11,41,70,75,3,1,76,8,61,38,53,77,66
